epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,222.099,0.56879,0.50548,0.87734,0.81221,0.78028,0.79253,0.624,0.81223,0.5718,0.9377,0.000324275,0.000324275,0.000324275
73,226.194,0.58844,0.50436,0.87884,0.85091,0.75573,0.79241,0.63022,0.79057,0.56306,0.92843,0.0003218,0.0003218,0.0003218
74,230.148,0.586,0.50012,0.88136,0.83103,0.78037,0.81072,0.63322,0.80106,0.57432,0.92961,0.000319325,0.000319325,0.000319325
75,233.908,0.59796,0.49973,0.87455,0.80674,0.80196,0.79732,0.61974,0.79869,0.56155,0.93564,0.00031685,0.00031685,0.00031685
76,237.817,0.56635,0.48234,0.86369,0.85383,0.80556,0.81287,0.63483,0.79054,0.53791,0.94343,0.000314375,0.000314375,0.000314375
77,241.463,0.59012,0.48785,0.87299,0.85485,0.7992,0.82292,0.63396,0.75441,0.51836,0.93298,0.0003119,0.0003119,0.0003119
78,245.267,0.57926,0.49929,0.87138,0.7974,0.79333,0.81183,0.62327,0.7541,0.52442,0.92782,0.000309425,0.000309425,0.000309425
79,249.016,0.56194,0.48,0.86803,0.83263,0.78456,0.82326,0.64779,0.74337,0.53236,0.92529,0.00030695,0.00030695,0.00030695
80,252.824,0.55731,0.48399,0.86689,0.82203,0.80489,0.84011,0.64878,0.83289,0.57519,0.94808,0.000304475,0.000304475,0.000304475
81,257.03,0.57877,0.48904,0.87643,0.83222,0.79423,0.81252,0.64587,0.79858,0.55944,0.94165,0.000302,0.000302,0.000302
82,260.945,0.55229,0.4764,0.86286,0.81073,0.77204,0.79447,0.63356,0.76544,0.55898,0.94464,0.000299525,0.000299525,0.000299525
83,263.847,0.55968,0.47858,0.87764,0.83287,0.7992,0.81154,0.64322,0.7733,0.54615,0.94293,0.00029705,0.00029705,0.00029705
84,266.536,0.55528,0.46035,0.86462,0.85864,0.78787,0.80744,0.6319,0.77266,0.53994,0.93771,0.000294575,0.000294575,0.000294575
85,269.237,0.56927,0.47452,0.87034,0.85163,0.77747,0.79981,0.63468,0.7517,0.53216,0.92219,0.0002921,0.0002921,0.0002921
86,271.95,0.54761,0.45781,0.85913,0.84359,0.77702,0.79163,0.62522,0.77285,0.53139,0.92891,0.000289625,0.000289625,0.000289625
87,274.656,0.55577,0.45878,0.85849,0.86142,0.77802,0.80267,0.63325,0.79076,0.52474,0.92279,0.00028715,0.00028715,0.00028715
88,277.395,0.54752,0.47164,0.8691,0.84165,0.79512,0.84608,0.66705,0.76424,0.50443,0.93068,0.000284675,0.000284675,0.000284675
89,280.049,0.52709,0.44147,0.86064,0.81249,0.80842,0.83987,0.66284,0.77991,0.52651,0.93042,0.0002822,0.0002822,0.0002822
90,282.712,0.53616,0.45868,0.85174,0.83447,0.79076,0.84459,0.66827,0.73881,0.52655,0.92472,0.000279725,0.000279725,0.000279725
91,285.417,0.52836,0.4521,0.8589,0.85049,0.79018,0.84222,0.67375,0.80233,0.5306,0.93772,0.00027725,0.00027725,0.00027725
92,288.106,0.52687,0.45547,0.8627,0.8265,0.79379,0.84308,0.67623,0.77415,0.53237,0.92841,0.000274775,0.000274775,0.000274775
93,290.95,0.52941,0.44619,0.85739,0.83221,0.78574,0.84376,0.67699,0.73681,0.52864,0.92824,0.0002723,0.0002723,0.0002723
94,293.686,0.54826,0.45174,0.86488,0.82207,0.80798,0.84129,0.66438,0.75981,0.50982,0.92924,0.000269825,0.000269825,0.000269825
